paper_doi,paper_key,table_id,row_idx,column_name,parameter_id,value,unit,caption,conditions_json
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,15,HRT (days),cme1qondh00uxlllg6kh5gl1a,0.5,days,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Gray"",""Major Process Unit"":""GW Holding"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.2"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.5"",""Total Scaled Capital Costs ($)"":""$ 5 ,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""203"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,15,Calculated Min. Volume (gal),cmduprk18000dg3nc7daetmui,2232,gal,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Gray"",""Major Process Unit"":""GW Holding"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.2"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.5"",""Total Scaled Capital Costs ($)"":""$ 5 ,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""203"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,15,Scaled Module Volume (gal),cmduprk18000dg3nc7daetmui,2400,gal,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Gray"",""Major Process Unit"":""GW Holding"",""Dimensions (varies)"":""Round Poly Tank 8-ft D x 30-ft L"",""Standard Cost ($)"":""$ 2 5,000"",""Module Unit Weight (tons)"":""2.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.2"",""Scaled Module Cost ($)"":""$ 25,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.5"",""Total Scaled Capital Costs ($)"":""$ 5 ,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""203"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,16,Standard Volume (gal),cmduprk18000dg3nc7daetmui,18000,gal,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Black"",""Major Process Unit"":""Headworks"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 100,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.15"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 0,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""16"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,16,Module Unit Power (hp),cme1qmy6n008xlllgn3t1ijkj,0.5,hp,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Black"",""Major Process Unit"":""Headworks"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 100,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.15"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 0,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""16"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,16,Flow Rate (gpd),cme1qoa9x00q6lllgm2qj3hx8,788,gpd,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Black"",""Major Process Unit"":""Headworks"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 100,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.15"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 0,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""16"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,16,HRT (days),cme1qondh00uxlllg6kh5gl1a,0.34,days,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Black"",""Major Process Unit"":""Headworks"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 100,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.15"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 0,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""16"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,16,Calculated Min. Volume (gal),cmduprk18000dg3nc7daetmui,268,gal,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Black"",""Major Process Unit"":""Headworks"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 100,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.15"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 0,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""16"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,16,Scaled Module Volume (gal),cmduprk18000dg3nc7daetmui,1800,gal,,"{""Alt"":""3"",""Scale"":""Company"",""Waste Stream"":""Black"",""Major Process Unit"":""Headworks"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 100,000"",""Weekly Run Time (hr)"":""56"",""Duty Modules (qty)"":""0.15"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 0,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""16"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,17,Standard Volume (gal),cmduprk18000dg3nc7daetmui,18000,gal,,"{""Major Process Unit"":""MFC"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 3 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.4"",""Scaled Module Cost ($)"":""$ 300,000"",""Weekly Run Time (hr)"":""14"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""2.6"",""Total Scaled Capital Costs ($)"":""$ 120,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""202"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,17,Module Unit Power (hp),cme1qmy6n008xlllgn3t1ijkj,1,hp,,"{""Major Process Unit"":""MFC"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 3 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.4"",""Scaled Module Cost ($)"":""$ 300,000"",""Weekly Run Time (hr)"":""14"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""2.6"",""Total Scaled Capital Costs ($)"":""$ 120,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""202"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,17,Flow Rate (gpd),cme1qoa9x00q6lllgm2qj3hx8,788,gpd,,"{""Major Process Unit"":""MFC"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 3 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.4"",""Scaled Module Cost ($)"":""$ 300,000"",""Weekly Run Time (hr)"":""14"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""2.6"",""Total Scaled Capital Costs ($)"":""$ 120,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""202"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,17,HRT (days),cme1qondh00uxlllg6kh5gl1a,8.5,days,,"{""Major Process Unit"":""MFC"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 3 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.4"",""Scaled Module Cost ($)"":""$ 300,000"",""Weekly Run Time (hr)"":""14"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""2.6"",""Total Scaled Capital Costs ($)"":""$ 120,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""202"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,17,Calculated Min. Volume (gal),cmduprk18000dg3nc7daetmui,6675,gal,,"{""Major Process Unit"":""MFC"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 3 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.4"",""Scaled Module Cost ($)"":""$ 300,000"",""Weekly Run Time (hr)"":""14"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""2.6"",""Total Scaled Capital Costs ($)"":""$ 120,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""202"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,17,Scaled Module Volume (gal),cmduprk18000dg3nc7daetmui,7200,gal,,"{""Major Process Unit"":""MFC"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 3 00,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.4"",""Scaled Module Cost ($)"":""$ 300,000"",""Weekly Run Time (hr)"":""14"",""Duty Modules (qty)"":""0.9"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""2.6"",""Total Scaled Capital Costs ($)"":""$ 120,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""202"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,18,Standard Volume (gal),cmduprk18000dg3nc7daetmui,18000,gal,,"{""Major Process Unit"":""Settling Tank"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 50,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 150,000"",""Weekly Run Time (hr)"":""168"",""Duty Modules (qty)"":""0.1"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 5,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""49"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,18,Module Unit Power (hp),cme1qmy6n008xlllgn3t1ijkj,0.5,hp,,"{""Major Process Unit"":""Settling Tank"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 50,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 150,000"",""Weekly Run Time (hr)"":""168"",""Duty Modules (qty)"":""0.1"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 5,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""49"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,18,Flow Rate (gpd),cme1qoa9x00q6lllgm2qj3hx8,788,gpd,,"{""Major Process Unit"":""Settling Tank"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 50,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 150,000"",""Weekly Run Time (hr)"":""168"",""Duty Modules (qty)"":""0.1"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 5,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""49"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,18,HRT (days),cme1qondh00uxlllg6kh5gl1a,0.34,days,,"{""Major Process Unit"":""Settling Tank"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 50,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 150,000"",""Weekly Run Time (hr)"":""168"",""Duty Modules (qty)"":""0.1"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 5,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""49"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,18,Calculated Min. Volume (gal),cmduprk18000dg3nc7daetmui,268,gal,,"{""Major Process Unit"":""Settling Tank"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 50,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 150,000"",""Weekly Run Time (hr)"":""168"",""Duty Modules (qty)"":""0.1"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 5,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""49"",""Energy Recovery (kWh/yr)"":""-""}"
10.1007/bf02472679,dacadacbab5a93dd7a601578874c030e7b22606050412e98e5586077e4155225,table-10,18,Scaled Module Volume (gal),cmduprk18000dg3nc7daetmui,1800,gal,,"{""Major Process Unit"":""Settling Tank"",""Dimensions (varies)"":""Conex Module"",""Standard Cost ($)"":""$ 1 50,000"",""Module Unit Weight (tons)"":""6.5"",""Energy Production (kWh/m^3)"":""-"",""Unit Scale (1 = full size)"":""0.1"",""Scaled Module Cost ($)"":""$ 150,000"",""Weekly Run Time (hr)"":""168"",""Duty Modules (qty)"":""0.1"",""Spare Modules (qty)"":""0"",""Total Scaled Modules (qty)"":""1.0"",""Total Scaled Weight (tons)"":""0.7"",""Total Scaled Capital Costs ($)"":""$ 1 5,000"",""Total Scaled Annual Usage (kW-hr/yr)"":""49"",""Energy Recovery (kWh/yr)"":""-""}"
